state,business_id,name,postal_code,latitude,longitude
NV,nepZ1HPAgBqw0TgJWbSgOA,Sin City Smokers Barbecue and Catering,89014,36.0719033672,-115.08327132
PA,qpm0gm7SdsY2LnvXzQb_uw,Jo-Lynn Pizza,15133,40.3238538,-79.8574802
OH,8FZftD3Y5jQ2R44EDBqhlA,Cafe Bon Appetit,44115,41.5011857,-81.6774369
OH,ybjN0J8hmsHKrbYLxRh0jg,Einstein Bros Bagels,44022,41.431263,-81.390773
NC,OgANEur7Bt8YJSd2uSm6yA,Pizza Hut,28217,35.1480979,-80.9248119
NV,uhQoPguihcZTo8yp5o2ohw,St. Tropez International Buffet,89145,36.1691108,-115.2913032
OH,WpkuAJfHSIgjppRC-Wnxgg,Brio Tuscan Grille,44124,41.50316,-81.5023265
PA,MWWOPM-o6lCEQ_SyD9AoaA,Dairy Queen,15102,40.3463621,-80.0276574
OH,QemTyuZdtyf0u1NeNHPK7A,Mr. Hero,44117,41.5807625,-81.5099927
NV,Q6kZqLHy-ikjMW-lBCXnKA,Tequileria Grille,89119,36.080609,-115.146624
OH,b7pkopqvDr7A7S7hlqp6cw,Zeppe's Pizzeria,44133,41.313753,-81.7347511
AZ,mZNLVpWuOu75CYOU7sbmTQ,Bravi,85249,33.2774461,-111.7906859
AZ,wIMhHjK6LuGsvpXWR4ntPg,Tosinos Mexican Grill,85206,33.3745401014,-111.687216908
PA,tIjoGxi2r6QvREucvQwZpA,The Dream BBQ,15208,40.4530376642,-79.8911726475
NV,lv5Bnqlt93NnvNJ2oNcQ8Q,Los Cucos Mexican Cafe,89113,36.0618411,-115.2519912
WI,DHiXfpd_vSfCCeFXPSucTA,4&20 Bakery & Cafe,53704,43.0982338,-89.3570463
NV,pUX9gzo1Tf4vRv7hX0eP1g,Los Compadres Meat Market,89103,36.1229614452,-115.208503563
PA,z5IINIjYm2HfyvHXvGMLtg,BoneWorks Grill,15085,40.3851689978,-79.7126303178
PA,1VUQPwwWU_i9PATyM8jrtg,Iron City Grille,15108,40.5106131,-80.2249582
AZ,h8fkA6hpT3SyJqgvBZfl3w,Chances,85251,33.4988606,-111.9180653
AZ,kKfX_V-CouF9XyZaRh51Aw,Dottie's True Blue Cafe,85251,33.496181488,-111.92881012
AZ,2JV0xGXsszojof2BuEt_hw,Gallagher's,85024,33.6536099,-112.0637743
NC,FoyNJ9w3cYW_YnDjiaHK2A,Sonic Drive In,28273,35.1205039,-80.949078
PA,1GaooxqCWHzulI2Ub3CXEw,Mad Mex - South Hills,15220,40.3906894285,-80.0726191733
OH,YNI26xBkdOzI1TMGmIcEaw,Taco Bell Cantina,44114,41.4993104059,-81.6915189047
NV,w_A1qFeQ3vOl7o4kdBxPXA,Muse Asian Cuisine & Lounge,89146,36.1260441832,-115.211447937
OH,XWNbd_RDR4lIzf_XlnUqpg,PIZZAFIRE,44129,41.3835476503,-81.7392260581
NC,Ff3FKbwZ-fCT74G1F3_j1g,Crunch Bistro,28211,35.1523851,-80.8321252
OH,MTsIckdo3_uKuqk3B4zuKA,Cleveland Pickle,44114,41.4997778,-81.6870284
AZ,pxex7bDovzCSHJKTu_hPJg,Bistas Deli & Market,85085,33.711456,-112.092945
NC,gikJ3YJpat7xa1CTdMDMPw,Ruby Tuesday,28083,35.46455,-80.588952
NC,cTudgI-2jn-GlnZUmULy5Q,Bruegger's Bagels,28105,35.1244838531,-80.7085589208
NV,kihL3ob1VOlAaGNeJ0fClw,Mama Cimino's,89123,36.0432632,-115.1502758
AZ,JYLwnsfl6OaF5-GCYRNGGw,Two Hippies Beach House,85020,33.5675987,-112.0649749
NC,_XAaKm6lN5aQnPUWTmjonw,Pizza Hut,28054,35.2792337,-81.1404833
AZ,9R4cc0f_sM4V1eT3qBGyUw,Charleys Philly Steaks,85206,33.393886,-111.68981
NC,x36lkmEp4rs8CZocUn_xTw,Burger King,28217,35.1495205,-80.8966783
OH,BeqWMUzFZCqz8na056XFTQ,Giovanni's Pizza,44055,41.444172,-82.1200009
NV,oAbPUdAp-7HgJ9hHkanAbA,Edamame Restaurant,89103,36.1152680289,-115.217166329
AZ,RHO331ipxuIYqvmn__Sxwg,Proof,85262,33.731835,-111.852751
NV,cywq9_82MXfAygeO0h5jsg,Carl's Jr,89030,36.2188159185,-115.160711555
AZ,zcgCOV4AYAHG8LkC0ticSA,El Potrero Carniceria,85210,33.4083028,-111.8457318
AZ,WHz8BX4y0q4liGG3wfBRfQ,Denny's,85305,33.5089245119,-112.271183431
AZ,atNpoWy_XrhT9EUIEP6azg,Metro Brasserie & Bar,85251,33.498915,-111.928258
AZ,9g0JuC-_vx35T0m3lidwBw,Temptations Cafe,85257,33.466187,-111.9023105
AZ,ZN8EHmoe4Xjy4q4Y8ROEfw,Saigon Bowl,85257,33.4581306,-111.9076146
AZ,0-TtzWmjREl7lIKDcmGONQ,Mango Flats,85283,33.3714095,-111.9392497
AZ,v1vcs-uSAQcjTFsHxS1dug,Bamboo House,85022,33.6080928,-112.0663045
PA,QN-Jwhwvv3ZGTg8bXZXAyg,Domino's Pizza,15034,40.349311,-79.891416
NV,rVZfapnQgyVLsNWA583u-A,Grand Sign Kitchen,89139,36.0527369758,-115.242586696
NC,0IySwcfqwJjpHPsYwjpAkg,Subway,28208,35.1902724,-80.9287913
NC,6YGQcH6v5ndd-Q4ovVRLDQ,Casa Rita's,28105,35.133802,-80.711771
WI,iiEjVLb4JDLE2xl8YGR-Gw,Chili King,53715,43.0608156262,-89.4010070761
WI,aUrOyWFKxKeVXiFzwbTXSA,The Green Owl Cafe,53704,43.0922989,-89.355528
NC,YGcpct62yl0lEGPlJrII5g,Bojangles' Famous Chicken 'n Biscuits,28262,35.3414126,-80.769465
AZ,uVbmY-muD5oi6Pzu-jOwgA,Uk Eggroll Pho N Rice,85301,33.5267629,-112.1521332
NV,3PshdJtSwd_poaPL7fIOHg,Counter Cuisine,89117,36.159221,-115.236737
AZ,WRlcASYWlNYmMr9lHOYw1Q,Convenient Corner Market,85260,33.5946408,-111.8803347
OH,UgWVMUWFrr6bt3NSfuKrGQ,Guys Pizza Co,44118,41.5092215,-81.5802228
AZ,oHUJ32cUOpP1qe36CURKEg,Teriyaki Madness,85297,33.2968019,-111.7485226
NC,UvWWzU2g-Wq-c3wAcSeDPg,Situl Indian Restaurant,28209,35.1748509,-80.847318
NV,iP0o0sxOhxLssSdME4SZvg,Great Grubbing,89074,36.0180244,-115.1012254
AZ,vILvd6b0jMFkKkrkpKMbbw,Del Taco,85286,33.2802627,-111.7979656
AZ,PtyCmMC1PM6OBYK31_qcrA,Bol Italia,85248,33.2617999,-111.8602743
WI,1pOqoAixFXrVci0kSZnbzQ,Papa Murphy's,53719,43.0321886,-89.4980948
NC,qqIGwFEE-2My54wRM11eAw,Taxco Mexican Grill,28012,35.2511857,-81.0448467
AZ,GPJAacvrxZpbJvJiYvWitQ,Taco Bell,85205,33.415539,-111.686111
OH,pbL2-Gej2_lSPXQ-Hn71uA,Dubrovnik Garden Restaurant,44095,41.6626838,-81.4409909
AZ,EgIbDz2YFo28DXQY7ik0lQ,Dunkin' Donuts,85260,33.6227379,-111.891928
AZ,Es_cIduurEbcndt6y67hBg,Trader Vic's,85251,33.493298,-111.934032
AZ,zOL260xaXDYZZPBItzALxQ,MacAlpine's Diner & Soda Fountain,85006,33.4732278,-112.0647459
NV,gIPrEKqnJwaAH0ZyvnQHeg,Cabo Mexican Restaurant,89121,36.132771,-115.085169
OH,2AS4HuJJHTBG6R8D9ldrdA,Seoul Garden Korean Restaurant,44223,41.1433504,-81.5081147
NV,HaPwC4nxs6RPfe1pAQkQ4A,Mastrioni's,89117,36.1291519,-115.3145487
NC,wmZUubpFZvgi_jtlDD-yRg,Chicken Box,28206,35.2544169,-80.80088
AZ,aVKOO7rBVo2lCj-KElxp5Q,Hippies Cove,85281,33.4259647,-111.9402513
AZ,mVr_62FJXajH7u44pyBIOQ,Kneaders Bakery & Cafe,85208,33.3934771554,-111.598454241
AZ,1OxSzNUssdRohY5dC-kWVg,Ping's Cafe,85268,33.5711513,-111.7120912
WI,d6VYQbeTZ_WdD8Uuhh35dg,Tempest Oyster Bar,53703,43.0739300186,-89.3796241524
NV,aNGcHb8rjFFI9nY_fUgImg,Kona Grill,89109,36.1272067684,-115.168874355
OH,_4Tus-IHFA4ErdNg32yvBQ,Wendy's,44145,41.4643579,-81.9505965
OH,TW6A7M0j0R9hp1zYpxz2FQ,District,44115,41.5002333552,-81.6814938294
PA,3fRRzgNdmGS4F7FiSBtRKw,Ollie's Pizza,15317,40.2627789,-80.1337717
NV,q3oJ6bNRV3OoJrwc95GOwg,Dirt Dog,89139,36.0359228984,-115.242907187
